id	text
en_8	''I find you guilty,'' said the judge with conviction.
en_10	Herbivores come in browns and graze.
en_13	I used to do rock climbing as a youth, but I was much boulder back then.
en_14	She dumped him because of all their lousy dates. After all, whining and dining does get tiresome after a while.
en_17	When you're wearing a watch on an airplane, time flies.
en_18	Old chicken farmers never die, they just have a dozen aches.
en_23	OLD SHEET ROCKERS (dry wallers) never die, they just hang around.
en_24	When the wino suspected his muscatel was watered down, he needed more proof.
en_25	OLD PROFESSORS never die, they just lose their class.
en_34	One of the tires just blew out, Tom said sparingly.
en_40	It is difficult to escape being a peasant because resistance is feudal.
en_44	My friend is moving to Seoul. He thought it would be a good Korea move.
en_48	The bargain store promised a free abacus with every purchase, but I wouldn't count on it.
en_57	His affection for her was more than a passion interest.
en_58	If a lawyer speaks for too long there will be an extended sentence.
en_59	If you sing while playing baseball, you won't get a good pitch.
en_60	A dentist has to tell a patient the whole tooth.
en_61	If you don't know how to choose music ask a guitarist - they know how to pick.
en_67	''I'm putting on my T - shirt, shorts, and sunglasses,'' Tom summarised.
en_69	OLD DENTISTS never die, they just lose their pull.
en_73	Why didn't the little boy ask the flight attendant for a snack? He didn't have the nuts.
en_75	Waiter, there are pennies in my soup!'' Well, sir, you said you'd stop eating here if there wasn't some change in the food.'' *
en_79	Decimals have a point.
en_82	Herb gardeners who work extra get thyme and a half.
en_83	A gambling gardener usually hedges his bets.
en_88	How do farmers make crop circles? With a protractor.
en_93	If there's one person you don't want to interrupt in the middle of a sentence it's a judge.
en_94	The dentist decided he was going to try a new path to fame and fortune, and this time he would choose a different root.
en_100	Some rappers are good but others are Ludacris.
en_101	I wanted to lose weight so I went to the paint store. I heard I could get thinner there.
en_106	If you think that mutt made strange sounds as a pup, you should hear him grown.
en_107	In times like these the value of Chinese currency should make Americans pay attention. Instead, too many of us just yuan.
en_108	A men's wear store has opening and clothing times.
en_110	What do you call Peruvian Rorschach tests? Inca Blots.
en_118	I was against the construction of tennis courts in the park as I thought they would cause too much racket.
en_123	When the fog burns off it won't be mist.
en_125	The chef took some cheese and made some grate things.
en_126	King Arthur really knew how to deal with the sworded truth.
en_130	So, how's the flower business going? Oh, it's blossoming quite nicely.
en_132	If you want a metal dog leash go to a chain store.
en_133	If you're a gardener you might call yourself a 'plant manager'.
en_134	People have a happy time vacationing in Ireland because they are walking on Eire.
en_135	Cleopatra was the Pharaohs one of all.
en_137	OLD POLICEMEN never die they just cop out.
en_143	'I got lost in the streets of Paris,' he said ruefully.
en_157	Humpty Dumpty had a great fall - and a pretty good spring and summer, too.
en_159	My word is final! Tom dictated to his secretary.
en_162	I need to go on a diet, said Tom wastefully.
en_165	I flunked my exam, said Tom, testily.
en_171	Cane sugar can't be beet.
en_174	The hostage said he couldn't stay on the phone long because he was tied up at the moment.
en_177	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.
en_180	Dollars do best when accompanied by some sense
en_197	Doctor, doctor, I keep thinking I'm a billiard ball. - Get back in the queue. Next.
en_199	The nudist defended himself by citing his Constitutional right to bare arms.
en_203	Getting this job managing a country estate has put me off fried eggs. I'm a gamekeeper turned poacher.
en_205	A chicken farmer's favorite car is a coupe.
en_208	I like wool gathering for the shear joy of it.
en_211	You can't trust a tiger. You never know when he might be lion.
en_220	My name is Woody. A Forester
en_222	My name is Herb. I'm a cook.
en_224	He became a sky diver out of the blue.
en_225	OLD GARDENERS never die, they just get uprooted.
en_226	At a flower show the first prize is often a bloom ribbon.
en_228	She wanted to be a weaver but there were always too many snags.
en_231	A clean thief always makes a stainless steal.
en_236	The race horse went lame early. It was the first out of its gait.
en_237	Old sailors never die, they just get a little dinghy.
en_245	John plans to retire in the spring and, like the trees around us, will be leafing.
en_250	He bought a plate with four corners so he could have a square meal.
en_251	OLD POPULATION EXPERTS never die, they just lose their census.
en_270	My name is Barry. I'm an undertaker.
en_271	The invention of a shirt fastener after the button was a snap.
en_274	The humorist's favorite sandwich was smoked tongue on wry.
en_278	I've inherited a fortune, said Tom, willfully
en_279	There was a guy who was fired from the orange juice factory for lack of concentration.
en_283	She became a telephone operator because it was her calling.
en_284	Thieves have muscles of steal.
en_295	If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief.
en_300	It was a sad day for the rattlesnake family, the time had come for the children to strike out on their own.
en_304	When writing out drink recipes you have to have a first draft.
en_306	If a clock had legs, time would run out.
en_307	Careless stair dancers are heading for a heavy landing.
en_308	My boyfriend and I started to date after he backed his car into mine. We met by accident.
en_313	OLD CASHIERS never die they just check out.
en_316	The gunman took a shot at new opportunities.
en_320	When he proposed to her, she found it very engaging.
en_325	I have always wanted to hand out carts at Wal - Mart. I cannot imagine a greeter job.
en_326	My name is Guy. I install antennas.
en_327	When he kicked the invoice, it didn't mean he wanted to foot the bill.
en_332	A chicken crossing the road is poultry in motion.
en_337	OLD GOSSIPS never die they just lose their confidants
en_344	People who eat their apples stem and seed and all improve their core values.
en_346	The doctors had to remove a bone from my arm, said Tom humorlessly.
en_351	An unusual medical book is one which has no appendix.
en_367	Take a God look at yourself.
en_369	Some bankers are generous to a vault.
en_370	When the creator of Tarzan wrote about Pellucidar and other Earth - core stories, was it Edgar Rice burrows?
en_372	Guerrilla warfare is more than just throwing a banana.
en_373	The candle - making machine broke down when someone threw a spanner in the wax.
en_374	Go away, you snake! Tom rattled off.
en_383	A boating accident between the yacht, Red Dawn, and the schooner, Blue Lagoon, left the survivors marooned.
en_384	''I couldn't believe there were 527, 986 bees in the swarm!'' Tom recounted.
en_385	She was only a Musician's daughter, but she knew all the bars in town.
en_392	It wasn't school John disliked it was just the principal of it.
en_397	When a ladder was stolen from a store the manager said that further steps would be taken.
en_399	When he found out that he would visit a real blacksmith he got all fired up.
en_400	Always trust a glue salesman. They tend to stick to their word.
en_406	''I've got to stop this motor,'' Tom choked.
en_409	A sign at a cemetery reads, 'No Trespassing, Violators Will Face Grave Charges'.
en_412	Set your drink on a skateboard, they make good coasters.
en_416	I choked on my dessert and decided to sue, so I hired an attorney who specializes in tortes.
en_421	Roentgen was radiating.
en_425	The general started bowling before his aide had entered his name on the score sheet. He had launched a pre - emptive strike.
en_430	A cow that is pampered too much will give spoiled milk.
en_437	I can't really see myself without eyes.
en_439	Ever since my mineral extraction facility was converted to parking, I've had a lot on my mine.
en_440	''Here's your allowance for the next two weeks,'' Tom advanced.
en_441	The man who worked in the gum factory fell in a vat of bubblegum. His boss had to chew him out.
en_444	An explosion at the meat packing plant caused quite a meatier shower.
en_445	The son shines on the righteous.
en_446	Two referees went head to head because they had a score to settle.
en_447	I've been to a film festival in the South of France, said Tom cannily.
en_449	Why are Italians so good at making coffee? Because they really know how to espresso themselves.
en_453	My dentist seems distracted, I think he was brushing me off.
en_454	The sign on the nudist camp said, 'Clothed'til May'.
en_458	Lumberjacks have to keep problem logs.
en_459	I've never killed a deer before but I'll take a shot at it.
en_461	The intelligent entrepreneur's idea for designing catapults meant that his boss was completely thrown.
en_462	My name is Homer. I am a realter.
en_463	OLD BUNGEE JUMPERS sometimes die but they can still bounce back
en_468	I felt sick after I ate the scallopini. I didn't veal well at all.
en_475	The Vikings landed during thunder and lightning and took the city by storm.
en_476	OLD STATISTICIANS never die, they just get mean.
en_478	I'm the presenter of the South Bank Show, Melvyn bragged.
en_479	I'm buying a birthday present for a sculptor. Can you chip in?
en_480	''It's a unit of electric current,'' said Tom amply.
en_483	I had an appointment with the chiropractor, but I backed out.
en_491	The anesthesiologist's computer has an ethernet connection.
en_493	Her decision to take up rock climbing was precipitous to say the least.
en_496	If you tell a falsehood just after waking up you are lying in bed.
en_500	Life is fragile, handle with prayer
en_501	OLD UPHOLSTERERS never die, they just recover..
en_503	Marconi was not wired up about going.
en_505	OLD SCOTSMEN never die, but they can be kilt.
en_507	The two inventors of the radio were on the same wavelength.
en_508	The race dogs got a bad case of the fleas - they had to be scratched.
en_510	If you walk along a railroad track you may soon feel run down.
en_520	The Belly Dancer was popular with sailors because she understood navel maneuvers.
en_523	Old presidents never die they just keep going through their cabinets.
en_529	To many girls the word 'marriage' has a nice ring to it.
en_538	A tailor sometimes decides to suit himself.
en_539	One item contributed was a picture of a pretty, kimono - clad girl; it bore the inscription: ''Maid in Japan ''.
en_543	Faith doesn ’ t fall apart at the seems
en_544	Some people really enjoy blowing air out of their lungs - I'm not a fan myself.
en_548	Some moss took a lichen to a tree.
en_549	''I've an urgent appointment,'' said Tom in Russian.
en_550	Two companies that made shoelaces had common ties.
en_557	''It's only average,'' said Tom meanly.
en_564	He'd never gone hunting but decided to give it a shot.
en_565	The two bowlers bore a striking resemblance.
en_566	Two cooks disagreed but decided to hash it over.
en_569	The carpenter was well - known for nailing his work.
en_573	The soap - eating cult was swallowing lyes in search of the truth.
en_579	They won't stay at friendly hotels, because they're hostel people.
en_580	A scientist who wanted a tattoo got a skin graph.
en_581	Burning too much incense in a rented room could make the owner incensed.
en_583	OLD BATHING BEAUTIES never die, they just wade away.
en_585	The satellite went into orbit on January 1st causing a new year's revolution.
en_591	I wanted to exercise last night but it just didn't work out.
en_594	Oh what a tangled web we weave. On the Internet.
en_595	His qualifications as a math teacher didn't add up.
en_597	Pray up in advance.
en_605	Drinking a whole bucket of water could make you turn pail.
en_613	We'll never run out of math teachers because they always multiply.
en_621	Westinghouse stopped everything... he needed the brake.
en_624	OLD MATHEMATICIANS never die, they just lose some functions.
en_627	My daughter's studying natural medicine and I'm rooting for her.
en_634	In a surfing competition the winner got wave reviews.
en_635	Old bakers never die, they just keep making lots of dough.
en_638	Heart surgeons never bypass a good opportunity.
en_646	Did you hear about my friend who hired out vampires and poison, and my other friend who ate children? Could say the first one was the lessor of two evils.
en_652	OLD SANITATION MEN never die, they just waste away
en_653	When cave men got together they formed clubs.
en_654	Some foolish people gain by experience many perils of wisdom.
en_655	A skier who loses a race on a cold day will have a frosty disposition.
en_661	OLD BREAD MEN never die, they just lose their dough.
en_665	He shined a police officer's shoes and had a brush with the law.
en_666	A music store was robbed. The thief made away with the lute.
en_668	The dervish had so much endurance, he set a new whirled record.
en_672	''She even flies her own jet,'' Tom leered.
en_679	He put bug spray on his watch to get rid of the ticks.
en_681	A circus lion won't eat clowns because they taste funny.
en_685	People who like yogurt are well cultured.
en_692	Cows make noise only when they're in the mood.
en_693	Jack and Jill is the best nursery rhyme as others pail in comparison.
en_697	If you write bad things about me I am libel to sue you.
en_698	Studying fungus is a way to mold young minds.
en_700	The stock market crashes, but Viagra beats the flop.
en_706	Staying at the trendy, new hotel was the inn thing to do.
en_713	''I know which boyd gets the woym,'' said Tom in an oily voice.
en_715	We sternly warned the circus clown not to light the fuse while we were inside the cannon, but he did it anyway -- and it really made us soar.
en_718	Why don't people like to talk to garbage men? They mostly talk trash.
en_721	His plan to manufacture pencils just didn't draw attention.
en_732	She was only an Attorney's daughter, but what a will to break.
en_734	Yesterday a cow saved my life - it was bovine intervention.
en_737	Britain is a wet place since the queen has had a long reign.
en_742	When the CEO dropped his brownie on the calculator, was he trying to fudge the numbers?
en_743	For the office drunk: He generally found him loaded with work to do.
en_746	Hotel owners usually have suite dreams.
en_752	A job circumcising elephants isn't so bad. The base salary is small but the tips are big.
en_753	My name is Holly, I'm a holiday decorator
en_755	The couple grew fruit trees and lived to a ripe old age.
en_756	The cheap eye surgeon was always cutting corneas.
en_759	An office with many people and few electrical outlets could be in for a power struggle.
en_774	''Someone bumped into me while I was brushing my teeth,'' said Tom with a gleam in his eye.
en_777	Life’s a ledger, are we giving a good accounting of ourselves
en_779	OLD ACTUARIES never die they just get broken down by age and sex.
en_787	The duck said to the bartender, 'put it on my bill.'
en_791	OLD ELECTRICIANS never die, they just lose their resistance.
en_793	In high school I recall having a beautiful but difficult math teacher. She was easy on the eyes and hard on the pupils!
en_795	The runaway beer truck barrelled down the freeway after its driver was mugged.
en_803	My name is Mark. I price items at the supermarket.
en_807	I always had wanted to know how ships really worked, and now I finally was going to sea.
en_813	I love the novels of D. H. Lawrence, said the lady chattily.
en_818	He stared at his belly button so much, he was promoted to navel officer.
en_822	A student limped into class with a lame excuse.
en_825	Two rites make a wrong where bigamy is concerned.
en_826	She was listening for a Russell while walking through the trees.
en_838	What did the minister say to the underdressed layman?'' No shoes, no shirt, no service''
en_839	If you want those ashes, you'll have to urn them.
en_840	My student was late for class, claiming he was in the washroom. I think he was stalling.
en_848	This is the Netherlands, Tom stated flatly.
en_853	Eve showed up one morning wearing flowers instead of a fig leaf. She was the first woman to wear bloomers.
en_855	OLD PLANETS never die, they just lose their attraction.
en_857	OLD WOOL COATS never die, they just become mothballed.
en_862	The builders of raceways believe that one good turn deserves another.
en_868	How does a Welsh man eat cheese? Caerphilly.
en_877	The church needs to be souled.
en_880	Two mathematicians arguing about even numbers were at odds.
en_883	OLD SOCCER PLAYERS never die, they just achieve their final goal.
en_892	OLD BUS DRIVERS never die, they just take a turn for the worse.
en_894	Oil executives are always using crude language.
en_896	I kept failing to get a job as a butcher because I couldn't just make the cut.
en_897	''Pretend we were in the days before railways,'' Tom coached.
en_898	OLD HIPPIES never die, they just take a trip.
en_899	''I've gained thirty pounds,'' said Tom heavily.
en_908	The snowstorm arrived at a fortuitous moment. It was white on time.
en_910	Musical composers can use lots of Note paper.
en_919	The roulette dealer had a unique personality. He had a different spin on everything.
en_927	How do I handle change? I put it in the parking meter.
en_939	Chop up an old piano and you will get a cord of wood.
en_941	A bird with a headache might just migrane south.
en_944	Math class is full of drama. There are so many problems to work out.
en_950	The landscaper thought gardening magazines were fun to leaf through.
en_952	Volta was electrified.
en_960	Did you hear about the tire dealer that had a blowout sale?
en_975	I'll take that, said Tom appropriately.
en_977	A skunk fell in the river and stank to the bottom.
en_979	I went and saw the Hobbit, it put a Smaug look on my face.
en_980	Teacher: In this box, I have a 10 - foot snake. Sammy: You can't fool me, Teacher... snakes don't have feet.
en_981	A gossip is someone with a great sense of rumor.
en_982	I didn't know which hammer to get, but I think I nailed it.
en_984	Getting into the skunk selling business might make a lot of scents.
en_993	When people first heard of the ABS, it was braking news.
en_994	A good baker will rise to the occasion, it's the yeast he can do.
