id	text
es_2	Comer carne con un tenedor... que comer carne en un contenedor.
es_4	Un mal hombre en estado de coma. que te comas un hombre en mal estado.
es_5	Tomar el metro en la Puerta del Sol. que tomar el sol en la puerta del metro.
es_7	Decir Andalucía... que decir a Lucía que ande.
es_9	Ir a Marmolejo... que ir lejos por mármol.
es_12	Un movimiento sísmico... que seis micos en movimiento.
es_13	Sentémonos... que sesenta monos.
es_17	Una cinta negra... que una negra encinta.
es_18	Los libros de texto... que detesto los libros.
es_22	Tener un cortaúñas... que tener las uñas cortas.
es_23	Un disco de amor... que un mordisco.
es_31	Ha ocurrido un incendio en el zoo... se sospecha de las llamas.
es_34	Tu perro está muy gordo.- Es un cruce.- Pues será una rotonda.
es_37	Todo aquel que defiende una verdad absoluta es un imbécil.
es_41	Voy a bailar a la pista de braille. - Será de baile. - Es que voy muy ciego.
es_42	¿Vendes tu casa? - Alquilo. - ¿Y cuánto pesa?
es_44	¿Has estado alguna vez en un laberinto? - No. - Pues no sabes lo que te pierdes.
es_46	¿Te gustan los toros? - Sí- ¡Pues tienes el mismo gusto que las vacas!
es_50	Por favor, ¿me puede decir cuál es la Calle Mayor? - No lo sé. Nunca las he medido.
es_52	Mi mujer me ha dicho que, si mañana voy al torneo de ajedrez en lugar de salir con ella, me dejará. - ¿Y vas a salir? - Con e4 como siempre...
es_54	¡Mamá, el coco se ha llevado a papá! - ¿Qué coco? - El cocodrilo.
es_56	¡Socorro, me ha picado una víbora! - ¿Cobra? - No, gratis.
es_58	¡Capitán, se aproximan quince carabelas por estribor! - ¿Una flota? - No, ¡flotan las quince!
es_61	¿Qué le dice un cero a otro cero? - ¡No somos nada!
es_62	¿Qué le dice el 1 al 10? - Para ser como yo, debes de ser sincero.
es_63	Era tan alegre, tan alegre, que nunca comprendió la ley de la gravedad.
es_65	Era tan alto, tan alto, que tropezó el jueves y cayó el domingo.
es_67	Era tan alto, tan alto, que no tenía sien sino mil.
es_68	Era tan alto, tan alto, que cuando miraba hacia abajo le daba vértigo.
es_70	Era tan avaro, tan avaro, que no prestaba ni la menor atención.
es_72	Era tan baja, tan baja, que se ponía enferma para que el médico le diera de alta.
es_73	Era tan bajo, tan bajo, que para atravesar la alfombra tenía que llevar brújula.
es_74	Era tan bajo, tan bajo, que no tenía sien sino cincuenta.
es_77	Era tan borracho, tan borracho, que para separarlo de la botella tenían que usar sacacorchos.
es_79	Era una bruja tan tonta, tan tonta, que no encontraba las ciencias ocultas.
es_80	Era tan bruto, tan bruto, que no usaba peine sino serrucho.
es_83	Era tan calvo, tan calvo, que se le veían las ideas.
es_85	Era un cartero tan lento, tan lento, que cuando entregaba las cartas eran documentos históricos.
es_87	Era una chica tan mona, tan mona, que sólo comía cacahuetes.
es_94	¿En qué se parece las montañas a las mujeres? - En que las dos tienen faldas.
es_95	¿Un ama de casa a un torero? - En que los dos van a la plaza.
es_96	¿En qué se parece un ama de casa a un globo? - En que el ama de casa sube a tender y el globo tiende a subir.
es_100	¿En qué se parece un toro vivo a un toro muerto? - En que el toro vivo embiste y el muerto en bistec.
es_103	¿En qué se parece una serpentina a un niño con frío? - En que el niño tirita de frío y la serpentina tirita de papel.
es_104	¿En qué se parece un chicle a un loco? - En que el chicle es de menta y el loco es demente.
es_106	¿Cuál es el colmo de un abogado? - Citar un ejemplo.
es_108	¿Cuál es el colmo de un alpinista? - Tener que trepar por la palma de la mano.
es_109	¿Cuál es el colmo de un amnésico? - Hacerle un monumento a su memoria.
es_110	¿Cuál es el colmo de un anestesista? - Dormir la mona.
es_112	¿Cuál es el colmo de un artificiero? - Tener un carácter explosivo.
es_114	¿Cuál es el colmo de una aspiradora? - Ser alérgica al polvo.
es_116	¿Cuál es el colmo de un astronauta? - Tener los ojos fuera de órbita.
es_118	¿Cuál es el colmo de un avaro? Dormir de lado para no gastar las sábanas
es_120	¿Cuál es el colmo de un aviador? - Que en la noche de bodas no se le levante el aparato.
es_125	¿Cuál es el colmo de un barbero? - Coger el autobús por los pelos.
es_130	¿Cuál es el colmo de un caballo? - Tener silla y no poder sentarse.
es_131	¿Cuál es el colmo de un calvo? - Que se le transparenten las ideas.
es_132	¿Cuál es el colmo de un carnicero? - Tener manitas de cerdo.
es_135	¿Cuál es el colmo de un casto? - Ruborizarse ante un juego de damas.
es_136	¿Cuál es el colmo de un cazador? - Que le salga un hijo pato.
es_138	¿Cuál es el colmo de un cerrajero? - Abrir un paréntesis.
es_139	¿Cuál es el colmo de un ciego? - Vivir en la calle Bellavista.
es_141	¿Cuál es el colmo de un cobarde? - Que le pongan la piel de gallina.
es_143	¿Cuál es el colmo de un conductor? - Tener que frenar en seco un día de lluvia.
es_144	¿Cuál es el colmo de un confitero? - Tener el carácter dulce.
es_147	¿Cuál es el colmo de un chino? - Que al comer limón se le ponga la lengua amarilla.
es_151	¿Cuál es el colmo de un dentista? - Ponerle dentadura a la boca de un río.
es_152	¿Cuál es el colmo de un diabético? - Tener un carácter dulce.
es_153	¿Cuál es el colmo de Drácula? - Ser donante de sangre.
es_159	¿Qué es amor? - Único deporte que no se suspende por faltade luz.
es_161	Aplauso: Eco de una tontería.
es_163	Bofetada: Aplauso unilateral.
es_165	Busto: Estatua de un hombre sin manos.
es_173	Embarazo: Período sin período.
es_174	Esposa: Lo único que queda de la novia.
es_176	Estafa: Estufa que no funciona.
es_179	Mocos: Plastilina de los pobres.
es_180	¿Cuál es el colmo de un enano? - Tener vértigo. 
es_184	¿Cuál es el colmo de la ética? - No tener moral.
es_187	¿Cuál es el colmo de un musculoso? - Doblar una esquina.
es_191	¿Cuál es el colmo de la fuerza? - Romper el silencio.
es_194	¿Cuál es el colmo de un futbolista? - Tener los tacos puestos y no poder comerlos.
es_196	¿Cuál es el colmo de la honradez? - Encontrar un trabajo y devolverlo.
es_197	Manolo, ¿sabes lo que es un pañuelo? - No, el caso es que me suena
es_198	Me compré una paloma. - ¿Mensajera? - No te exagero.
es_201	¿Tu loro tiene mala leche? - No. - Pues, ponme dos litros.
es_205	¿Por qué bebes la cerveza con popote? - Le prometí a mi madre que jamás pondría los labios en una copa.
es_206	He visto a tu mujer con un vestido muy chillón - Sí, es que es un poco sorda.
es_217	Tu novia es una chica corriente. - Sí, pero de alto voltaje.
es_220	Lo que tu hijo le ha hecho a mi hija no tiene nombre. Ni apellido porque mañana se va a Alemania.
es_221	Mi exmarido era un sol. - ¿Y por qué le dejaste? - Porque me ponía negra.
es_223	¿Por qué los mexicanos no pueden jugar billar? - Porque se comen los tacos.
es_226	Últimamente parece que estás en las nubes. - Es que me he enamorado del hombre del tiempo.
es_227	¿Sabes que me casado con una muda? - Qué suerte has tenido, yo me casé con lo puesto.
es_228	Pues, mi mujer me ha regalado un paraguas. - ¿Para tu cumpleaños? - No, para cuando llueva.
es_229	¿Tú que colonia usas? - Lavanda. - Pues, me parece que se te debe haber muerto algún músico.
es_230	Dos galgos corriendo detrás de un taxi: Lo ves, como ponía libre y no liebre.
es_231	El cocodrilo hijo: Papá, ¿algún día tendré mucho dinero? - Sí hijo, cuando te hagan billetera.
es_232	Entre caracoles: ¡Hola, caracol! - ¡Y tú cara de lechuga!
es_234	Se necesita señorita con dos lenguas para ejecutivo muy exigente
es_235	Se ofrece butanero vasectomizado. Servicio garantizado sin riesgo de escapes.
es_237	Torneo de tiro al arco. Perforación de orejas.
es_239	Se puede pagar a plazos. Tenemos plena confianza en Dios. En los demás pagan al contado.
es_241	No correr, ancianos jugando.
es_242	Vendo dentadura postiza porque necesito el dinero para comer.
es_243	No mates los chinches, llevan tu sangre
