id	location	interpretation
fr_4	puzzle	puzzle (mystère) / puzzle (image découpée)
fr_5	remue	remuer (s'agiter) / remuer (mélanger) 
fr_8	bombe	bombe (explosif) / bombe (belle femme)
fr_17	x	x (anonyme) /  x {mathématiques}
fr_20	ils ne sont juste plus au courant	"ne plus être au courant / ""ne plus être au courant"" (ne pa sêtre informé)"
fr_27	poires	poire (fruit) / poire (personne naïve)
fr_40	Don	Don (Don Juan)/don (cadeau)
fr_49	numéro	numéro (chiffre) / numéro (spectacle)
fr_53	liquide	liquide (espèces)/liquuide (carburant)
fr_65	saumure	saumure / fémure
fr_94	enfers et contre tout	"""envers et contre tout"" (malgré tous les obstacles, contre toute attente) /enfers et contre tout ~ <Orfeo ed Euridice; enfers>"
fr_108	Agogé	Agogé / apogée
fr_114	s'agave	agave / aggraver
fr_120	boucle	boucle (répétition) / boucle (anneau)
fr_127	arrosée	arrosé (mouillé) / arrosé (alcoolisé)
fr_140	donné suite	" suite (séries de chambres dans un hôtel) / ""donner suite"""
fr_147	carats	carats/carottes
fr_149	abrevet	a + brevet / abrever
fr_150	couler	"""se la couleur douce"" / couler (se noigner)"
fr_159	pris	prendre (s'emparer de) / prendre (subir)
fr_164	évolué	évoluer (changer) / évoluer {Darwinisme}
fr_165	coup de pompe	"coup de pompe /  ""coup de pompe"" (fatigue)"
fr_168	sans certitude	certitude / incertitude (principe d'incertitude d'Heisenberg)
fr_175	irrationnels	irrationnel (sans lien avec la raison) / irrationnel {mathématiques}
fr_184	bazar	bazar / bizarre
fr_196	aller au fond des choses	"aller au fond des choses / ""aller au fond des choses"" (approfondir)"
fr_201	sueurs froides	"avoir des sueurs froides / ""avoir des sueurs froides"" (avoir peur)"
fr_209	par coeur	"""par cœur"" / cœur (forme)"
fr_219	fusables	fusible + faisable
fr_220	Hermès 	Hermès (prénom)/Hermès {mythologie grecque}
fr_222	sueurs froides	"avoir des sueurs froides / ""avoir des sueurs froides"" (avoir peur)"
fr_226	décomposés	décomposé (putréfié) / décomposé (terrifié)
fr_227	certifia	certifier (confirmer) / certificat (diplôme)
fr_229	un gros coup	coup (choc) / coup (acte décisif)
fr_238	droit au but	"aller droit au but / ""aller droit au but"" (se montrer direct)"
fr_245	piques	lancer des piques (paroles blessantes)/pique (attaque du scorpion)
fr_246	étoiles	étoiles (astres) / étoiles (vedettes)
fr_250	vous êtes assez chanceux	vous êtes assez chanceux (avez la chance de) / vous êtes assez chanceux (vous êtes très chanceux)
fr_268	volée	"volée {marche} / ""à toute volée"" {avec force}"
