id_en	text_fr	text_clean
en_1007	"Il faut sauver les baleines", jeta Tom avant de se tasser.	"Il faut sauver les baleines", jeta Tom avant de se tasser.
en_1007	"Il faut sauver les baleines", interjeta Tom.	"Il faut sauver les baleines", interjeta Tom.
en_1007	Moi je sauve les baleines, Tom s’en venta.	Moi je sauve les baleines, Tom s’en venta.
en_1007	Louis évent-a le projet de sauvetage des baleines.	Louis évent-a le projet de sauvetage des baleines.
en_1007	"Sauvez les baleines", proclama Tom à tout évent.	"Sauvez les baleines", proclama Tom à tout évent.
en_1007	"Sauvez les baleines, cracha Toto, Cétacé!"	"Sauvez les baleines, cracha Toto, Cétacé!"
en_1015	Si un citadin a un faible QI, est-ce pour autant que la population niais pas pour quelque chose ?	Si un citadin a un faible QI, est-ce pour autant que la population niais pas pour quelque chose ?
en_1015	Les habitants de Douai ont-ils un QI élevé ?	Les habitants de Douai ont-ils un QI élevé ?
en_1015	Si on fait la somme des QI d'une population, est-ce que leur intelligence devient moyenne?	Si on fait la somme des QI d'une population, est-ce que leur intelligence devient moyenne?
en_1015	Si tous les habitants d’une ville sont bouchés, est-ce que ça fait plus de bouchons ?	Si tous les habitants d’une ville sont bouchés, est-ce que ça fait plus de bouchons ?
en_102	Le skieur est parti à la retraite. Il n'arrivait pas à remonter la pente.	Le skieur est parti à la retraite. Il n'arrivait pas à remonter la pente.
en_103	Ma femme écoute du hip hop quand elle cuisine des carottes ou du gruyère. Je n'aime pas ça mais elle me dit que ça l'aide à râper.	Ma femme écoute du hip hop quand elle cuisine des carottes ou du gruyère. Je n'aime pas ça mais elle me dit que ça l'aide à râper.
en_1031	Je rêvais de dormir dans cet hôtel.	Je rêvais de dormir dans cet hôtel.
en_1033	En cuisinant, j'ai fait tomber un bâton de margarine sur le carrelage en bois, et quand ma voisine a glissé et est tombée, j'ai dit : "Ça doit être le parkay".	En cuisinant, j'ai fait tomber un bâton de margarine sur le carrelage en bois, et quand ma voisine a glissé et est tombée, j'ai dit : "Ça doit être le parkay".
en_1033	Quand j'ai fait du pain, j'ai mis un morceau de margarine sur le plancher. Quand mon voisin est tombé, j'ai dit: "Il y a eu une parkay".	Quand j'ai fait du pain, j'ai mis un morceau de margarine sur le plancher. Quand mon voisin est tombé, j'ai dit: "Il y a eu une parkay".
en_1047	La belle attendait ses amants dans le clocher de l'église, mais le temps passait et aucun ne venait. Elle se disait qu'elle aurait dû savoir si quelque chose clochait.	La belle attendait ses amants dans le clocher de l'église, mais le temps passait et aucun ne venait. Elle se disait qu'elle aurait dû savoir si quelque chose clochait.
en_1047	Pablo et José attendaient que Pilar allume le grand Feu avant de la rejoindre à l'église, mais d'aucun ne réagit à la chaleur ne sachant à qui était destiné la femme	Pablo et José attendaient que Pilar allume le grand Feu avant de la rejoindre à l'église, mais d'aucun ne réagit à la chaleur ne sachant à qui était destiné la femme
en_1047	Firmin et Henri attendaient tous les deux que Gladys arrive dans leur collocation. Elle appuie sur la sonnette mais personne ne lui ouvre, car aucun des deux ne sait pour qui sonne Gladys.	Firmin et Henri attendaient tous les deux que Gladys arrive dans leur collocation. Elle appuie sur la sonnette mais personne ne lui ouvre, car aucun des deux ne sait pour qui sonne Gladys.
en_1047	Plabo et José ont attendu un signal de la part de Pilar pour la rejoindre dans la tour de l'église, mais aucun des deux n'a répondu au carillon, car ils ne savaient pas lequel des deux cette cloche sonnait.	Plabo et José ont attendu un signal de la part de Pilar pour la rejoindre dans la tour de l'église, mais aucun des deux n'a répondu au carillon, car ils ne savaient pas lequel des deux cette cloche sonnait.
en_1047	Pablo et José ont attendu que Pilar leur dise de la rejoindre à dans le clochet de l'église. Ils ont cherché le clochet mais ne l'ont jamais trouvé. Pilar ne dit que des sonnettes.	Pablo et José ont attendu que Pilar leur dise de la rejoindre à dans le clochet de l'église. Ils ont cherché le clochet mais ne l'ont jamais trouvé. Pilar ne dit que des sonnettes.
en_1047	Pablo et Jose attendirent un signal de Pilar pour la rejoindre dans la tour de l'Église, mais ils ne répondirent pas au chant parce qu'ils ne savaient pas pour qui la belle se balançait.	Pablo et Jose attendirent un signal de Pilar pour la rejoindre dans la tour de l'Église, mais ils ne répondirent pas au chant parce qu'ils ne savaient pas pour qui la belle se balançait.
en_1051	Un jour, quelqu'un m'a accusé d'avoir volé un timbre de valeur, rare et ancien. Je lui ai dit que, pour porter de telles accusations, il devait être complètement timbré.	Un jour, quelqu'un m'a accusé d'avoir volé un timbre de valeur, rare et ancien. Je lui ai dit que, pour porter de telles accusations, il devait être complètement timbré.
en_1051	Quelqu'un m'a accusé d'avoir contrefait les pièces de collections vendues au club de philatélistes. J'ai nié en ajoutant qu'il était timbré.	Quelqu'un m'a accusé d'avoir contrefait les pièces de collections vendues au club de philatélistes. J'ai nié en ajoutant qu'il était timbré.
en_1051	On m'a accusé de voler un vieux timbre de grande valeur, mais je me suis affranchi de ce soupçon.	On m'a accusé de voler un vieux timbre de grande valeur, mais je me suis affranchi de ce soupçon.
en_1051	Une fois j’ai été accusé d’avoir volé un vieux timbre rare et précieux, j’ai évidemment nié comme un timbré.	Une fois j’ai été accusé d’avoir volé un vieux timbre rare et précieux, j’ai évidemment nié comme un timbré.
en_1051	Un jour quelqu’un m’a accusée d’avoir volé un œuf de Fabergé très rare, et je n’ai pas pu rester pondéré.	Un jour quelqu’un m’a accusée d’avoir volé un œuf de Fabergé très rare, et je n’ai pas pu rester pondéré.
en_1051	Un philatéliste m'a accusé d'avoir volé toute sa collection... Quel timbré, celui-là !	Un philatéliste m'a accusé d'avoir volé toute sa collection... Quel timbré, celui-là !
en_1051	On m'a un jour accusé d'avoir volé des vieux timbres rares qui valaient très cher, ce que j'ai nié en bloc.	On m'a un jour accusé d'avoir volé des vieux timbres rares qui valaient très cher, ce que j'ai nié en bloc.
en_1059	Le pêcheur sifflant était toujours hors de thon.	Le pêcheur sifflant était toujours hors de thon.
en_1072	Si vous portez un bandeau aux yeux, vous ne saurez pas ce que vous manquez.	Si vous portez un bandeau aux yeux, vous ne saurez pas ce que vous manquez.
en_1072	Si vous portez un bandeau sur les yeux au stand de tir, vous ne saurez pas ce que vous manquez.	Si vous portez un bandeau sur les yeux au stand de tir, vous ne saurez pas ce que vous manquez.
en_1072	Si tu portes un bandeau sur tes yeux au stand de tir, tu ne sauras pas ce que tu rates.	Si tu portes un bandeau sur tes yeux au stand de tir, tu ne sauras pas ce que tu rates.
en_1072	Si tu portes des yeux au champ de tir, tu ne sais pas ce que tu manques.	Si tu portes des yeux au champ de tir, tu ne sais pas ce que tu manques.
en_108	Les vieux boulangers ne meurent jamais, ils ne gagnent juste plus aussi bien leur pain.	Les vieux boulangers ne meurent jamais, ils ne gagnent juste plus aussi bien leur pain.
en_108	Les anciens boulangers ne meurent jamais, ils arrêtent juste de se faire du blé.	Les anciens boulangers ne meurent jamais, ils arrêtent juste de se faire du blé.
en_108	Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croûte.	Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croûte.
en_108	Un boulanger qui a fait faillite n'a plus de blé.	Un boulanger qui a fait faillite n'a plus de blé.
en_108	Les vieux boulangers ne meurent pas, ils ont juste de moins en moins de blé.	Les vieux boulangers ne meurent pas, ils ont juste de moins en moins de blé.
en_108	Les vieux boulangers ne meurent pas, ils arrêtent seulement de gagner leur croûte.	Les vieux boulangers ne meurent pas, ils arrêtent seulement de gagner leur croûte.
en_108	Les vieux boulangers ne meurent pas, ils arrêtent juste de se faire du blé	Les vieux boulangers ne meurent pas, ils arrêtent juste de se faire du blé
en_108	Les vieux meuniers ne meurent jamais, ils arrêtent juste de se faire du blé.	Les vieux meuniers ne meurent jamais, ils arrêtent juste de se faire du blé.
en_108	Les vieux pâtissier ne meurent pas, ils arrêtent de mettre la main à la pâte.	Les vieux pâtissier ne meurent pas, ils arrêtent de mettre la main à la pâte.
en_108	Une boulangère ne meurt jamais, seulement, ses problèmes vont croissant.	Une boulangère ne meurt jamais, seulement, ses problèmes vont croissant.
en_108	Les vieux boulangers ne meurent jamais, ils cessent seulement de mettre la main à la pâte.	Les vieux boulangers ne meurent jamais, ils cessent seulement de mettre la main à la pâte.
en_108	Un boulanger ne meurt pas, il est dans le pétrin.	Un boulanger ne meurt pas, il est dans le pétrin.
en_108	À force de se faire mener à la baguette, le boulanger s’est retrouvé dans le pétrin.	À force de se faire mener à la baguette, le boulanger s’est retrouvé dans le pétrin.
en_108	Les vieux boulangers ne meurent pas, ils ne mettent juste plus la main à la pâte.	Les vieux boulangers ne meurent pas, ils ne mettent juste plus la main à la pâte.
en_1084	Je trouve que dans un intérieur rustique, un poêle à bois, ça a vraiment du chien	Je trouve que dans un intérieur rustique, un poêle à bois, ça a vraiment du chien
en_1085	Il réfléchit mieux maintenant qu'il a un miroir.	Il réfléchit mieux maintenant qu'il a un miroir.
en_1085	Après avoir acheté un miroir, il est devenu très réfléchi.	Après avoir acheté un miroir, il est devenu très réfléchi.
en_110	"La nourriture a goût de plutonium", dit Tom, rayonnant.	"La nourriture a goût de plutonium", dit Tom, rayonnant.
en_110	"Ce plat a un goût de plutonium", dit Tom rayonnant.	"Ce plat a un goût de plutonium", dit Tom rayonnant.
en_110	"Ah, ce plat a un goût de plutonium!", fit Tom, rayonnant.	"Ah, ce plat a un goût de plutonium!", fit Tom, rayonnant.
en_110	Ce plat à un goût de plutonium, dit Tom brillamment.	Ce plat à un goût de plutonium, dit Tom brillamment.
en_110	"Ça a un goût de plutonium", conclut Toto, brillament	"Ça a un goût de plutonium", conclut Toto, brillament
en_110	" Ça a un peu le goût d'uranium non ? ", demanda Tom, rayonnant.	" Ça a un peu le goût d'uranium non ? ", demanda Tom, rayonnant.
