id_en,text_fr,text_clean,row,is_pun,non_pun,back_translation
en_4671,Un skieur qui perd une course par une journée froide aura un caractère glacial.,Un skieur qui perd une course par une journée froide aura un caractère glacial.,2900,0,Un coureur qui rate une épreuve lors d'une soirée fraîche aura un esprit calme.,A runner who misses an event on a cool evening will have a calm mind.
en_4682,Pourquoi la voiture est-elle embarrassée ? Parce qu’elle a des gaz !,Pourquoi la voiture est-elle embarrassée ? Parce qu’elle a des gaz !,2901,0,Pourquoi la lampe est-elle allumée ? Parce qu'elle éclaire la pièce.,
en_4682,Pourquoi la voiture est-elle gênée ? Parce qu’elle a des gaz dans le pot.,Pourquoi la voiture est-elle gênée ? Parce qu’elle a des gaz dans le pot.,2902,0,La route est encombrée à cause des travaux en cours et des déviations incessantes.,
en_4682,Pourquoi cette voiture se sentait-elle gênée ? A cause de son pet d’échappement.,Pourquoi cette voiture se sentait-elle gênée ? A cause de son pet d’échappement.,2903,0,Pourquoi cette machine semblait-elle silencieuse ? En raison de son système défectueux.,
en_4685,Les professeurs de maths font face à beaucoup de problèmes.,Les professeurs de maths font face à beaucoup de problèmes.,2904,0,Les enseignants de physique rencontrent de nombreuses difficultés.,
en_4685,Les profs de math ont beaucoup de problèmes.,Les profs de math ont beaucoup de problèmes.,2905,0,Les enseignants de maths rencontrent des difficultés.,
en_4685,Les professeurs de mathématiques ont beaucoup de problèmes.,Les professeurs de mathématiques ont beaucoup de problèmes.,2906,0,Les enseignants de physique rencontrent plusieurs défis.,
en_4685,Les professeurs de maths ont beaucoup de problèmes.,Les professeurs de maths ont beaucoup de problèmes.,2907,0,Les enseignants en physique rencontrent des défis variés.,
en_469,"J'ai voulu te prévenir que j'avais des poux, mais j'étais trop lente.","J'ai voulu te prévenir que j'avais des poux, mais j'étais trop lente.",2908,0,"Je voulais te dire que j'avais des soucis, mais je n'ai pas eu le temps.",
en_469,N'écoutez pas ce qu'on vous dit sur la fin des haricots ou sur le fait que les carottes soient cuites... On vous raconte des salades.,N'écoutez pas ce qu'on vous dit sur la fin des haricots ou sur le fait que les carottes soient cuites... On vous raconte des salades.,2909,0,Ne prêtez pas attention aux rumeurs que vous entendez concernant la conclusion des événements ou la situation finale... On vous donne des informations erronées.,
en_469,"Ne croyez pas ces histoires de pilleurs étrangers venus du nord, ce ne sont que des bobards.","Ne croyez pas ces histoires de pilleurs étrangers venus du nord, ce ne sont que des bobards.",2910,0,"Ne prenez pas au sérieux ces récits de brigands venus d'ailleurs, ce ne sont que des mensonges.","Do not take seriously these tales of bandits coming from elsewhere, they are nothing but lies."
en_469,Les mensonges colportés sur les puces et les tiques ont tendance à parasiter la recherche.,Les mensonges colportés sur les puces et les tiques ont tendance à parasiter la recherche.,2911,0,Les idées fausses répandues sur les parasites tels que les tiques et les puces perturbent souvent les études.,
en_4692,Cet ordinateur durera-t-il cinq ans ? Obsolètement !,Cet ordinateur durera-t-il cinq ans ? Obsolètement !,2912,0,Ce dispositif fonctionnera-t-il longtemps ? C'est incertain.,
en_4692,Est-ce que ce ordinateur va durer cinq ans? Obsolètement!,Est-ce que ce ordinateur va durer cinq ans? Obsolètement!,2913,0,Cet appareil sera-t-il encore fonctionnel après cinq ans ? Clairement.,
en_4692,Cet ordinateur va-t-il durer cinq ans? Obsoletelement!,Cet ordinateur va-t-il durer cinq ans? Obsoletelement!,2914,0,Cet appareil pourra-t-il fonctionner cinq ans? Possiblement!,
en_470,Joe a refusé de manger du sushi parce qu'il lui semblait poisson.,Joe a refusé de manger du sushi parce qu'il lui semblait poisson.,2915,0,Joe a choisi de ne pas manger de sushi car il n'aimait pas l'odeur.,
en_4702,Il a dérobé une invention puis il s'est mis à raconter des mensonges patentés.,Il a dérobé une invention puis il s'est mis à raconter des mensonges patentés.,2916,0,Il a volé une création puis il a commencé à dire des mensonges avérés.,
en_4702,Est-ce qu'un voleur de brevets est un menteur patenté?,Est-ce qu'un voleur de brevets est un menteur patenté?,2917,0,Un individu qui usurpe des idées est-il un fraudeur avéré ?,
en_4702,Cet inventeur de génie n'avait même pas le brevet des collèges.,Cet inventeur de génie n'avait même pas le brevet des collèges.,2918,0,Cet artiste talentueux n'avait même pas achevé ses études secondaires.,
en_4702,"Il a volé une invention et quand on lui a demandé de la rendre, il l'a déposée.","Il a volé une invention et quand on lui a demandé de la rendre, il l'a déposée.",2919,0,"Il a pris un objet et lorsqu'on lui a demandé de le rendre, il l'a reposé.",
en_4702,Il a volé une invention et à certifié l’inverse.,Il a volé une invention et à certifié l’inverse.,2920,0,Elle a dérobé une idée et a affirmé le contraire.,She stole an idea and claimed otherwise.
en_4702,Il vola une perceuse et après il raconta des mensonges évidants.,Il vola une perceuse et après il raconta des mensonges évidants.,2921,0,Il prit un marteau et ensuite il dit des choses fausses et claires.,
en_4702,"Il a volé une invention, et depuis il ne cesse de nous a-brevet de mensonges","Il a volé une invention, et depuis il ne cesse de nous a-brevet de mensonges",2922,0,"Il a pris une idée, et depuis il ne cesse de nous abreuver d'histoires.",
en_4702,Il a menti en disant avoir déposé un brevet. C'était une pure invention.,Il a menti en disant avoir déposé un brevet. C'était une pure invention.,2923,0,Il a trompé en affirmant avoir obtenu un diplôme. C'était une fausse déclaration.,
en_4702,Il avait volé l'idée d'une invention et abrevet son entourage de mensonges.,Il avait volé l'idée d'une invention et abrevet son entourage de mensonges.,2924,0,Il avait pris le concept d'une création et trompé ceux autour de lui avec des mensonges.,
en_4702,Il a volé l'invention d'un autre et a abreuvé tout le monde de mensonges.,Il a volé l'invention d'un autre et a abreuvé tout le monde de mensonges.,2925,0,Elle s'est approprié le travail d'autrui et a répandu des faussetés partout.,
en_4702,"Il s'est approprié une invention, puis nous a abrevet de mensonges.","Il s'est approprié une invention, puis nous a abrevet de mensonges.",2926,0,"Il a pris une idée, puis nous a raconté des histoires.",
en_4704,Ma soeur compte reprendre l'entreprise fourmilliale de construction.,Ma soeur compte reprendre l'entreprise fourmilliale de construction.,2927,0,Mon frère envisage relancer la société familiale de rénovation.,
en_4711,Le club de jardinage a visité la garderie et s'est retrouvé dans un milieu hosta.,Le club de jardinage a visité la garderie et s'est retrouvé dans un milieu hosta.,2928,0,Le groupe botanique a exploré la pépinière et a découvert un espace verdoyant.,
en_4711,Le club de jardinage a visité la pépinière et s'est retrouvé dans un environnement hosta,Le club de jardinage a visité la pépinière et s'est retrouvé dans un environnement hosta,2929,0,Le groupe botanique a exploré la serre et a découvert un cadre verdoyant.,
en_4715,Azertyus est un dieu mythologeek.,Azertyus est un dieu mythologeek.,2930,0,Azalias est un être légendaire ancien.,Azalias is an ancient legendary being.
en_4715,"Azertyus, dieu des claviers, est un personnage mythologeek","Azertyus, dieu des claviers, est un personnage mythologeek",2931,0,"Azertyus, gardien des lettres, reste un être mystérieux et ancien.",
en_4715,"Azertyus, dieu des claviers, est un personage de la mythologie geek.","Azertyus, dieu des claviers, est un personage de la mythologie geek.",2932,0,"Balthor, maître des écrans, est une figure dans les histoires numériques.",
en_4715,Le dieux Azertius fait partie du panthéon de la mythologie geek.,Le dieux Azertius fait partie du panthéon de la mythologie geek.,2933,0,La déesse Korelia appartient au panthéon de la mythologie numérique.,
en_4715,"Azertyos, le dieu des claviers, est un personnage de la mythologie greek.","Azertyos, le dieu des claviers, est un personnage de la mythologie greek.",2934,0,"Azorathos, le gardien des écrits, est un personnage de la mythologie romaine antique.",
en_4718,Quand un roi atteint les 80 ans on l'appelle Monsenior ?,Quand un roi atteint les 80 ans on l'appelle Monsenior ?,2935,0,Quand une reine fête ses 80 ans on dit Madame avec respect ?,
en_4718,Le vieux roi de Belgique a régné pendant plus de sceptre-ante années,Le vieux roi de Belgique a régné pendant plus de sceptre-ante années,2936,0,L'ancien souverain des Pays-Bas a gouverné la nation pendant plus de sept décennies.,
en_4720,"Pour sa dernière campagne promotionnelle, le manager des Tuyauteries et Aciérie demandat à son équipe de souder toute la population locale","Pour sa dernière campagne promotionnelle, le manager des Tuyauteries et Aciérie demandat à son équipe de souder toute la population locale",2937,0,"Pour sa récente initiative marketing, le directeur des Constructions Métalliques sollicita à son équipe de réunir toute la communauté locale.",
en_4725,"A force de se prendre des vitres, il a appris à se tenir à carreau.","A force de se prendre des vitres, il a appris à se tenir à carreau.",2938,0,"En surmontant les obstacles, il a compris comment naviguer en silence.",
en_473,Un politicien a décidé de démissionner le jour d'une éclipse parce que c'était un jour sombre.,Un politicien a décidé de démissionner le jour d'une éclipse parce que c'était un jour sombre.,2939,0,"Un responsable a choisi de quitter ses fonctions pendant l'éclipse, estimant que c'était une période significative.",
en_473,"Un homme politique a déposé sa démission le jour d'une eclipse, c'était un jour sombre.","Un homme politique a déposé sa démission le jour d'une eclipse, c'était un jour sombre.",2940,0,"Un représentant a remis sa démission au moment d'une tempête, c'était une journée difficile.",A representative submitted their resignation during a storm; it was a difficult day.
en_473,Un homme politique a décidé de démissionner le jour d'une éclipse parce que c'était un jour sombre.,Un homme politique a décidé de démissionner le jour d'une éclipse parce que c'était un jour sombre.,2941,0,Un journaliste a choisi de retirer son article le jour d'une tempête car la situation était critique.,
en_4738,Pourquoi tous les hommes d'affaires sont gros ? Ça doit être toute l'inflation.,Pourquoi tous les hommes d'affaires sont gros ? Ça doit être toute l'inflation.,2942,0,Pourquoi de nombreux dirigeants d'entreprise paraissent-ils en surpoids ? Cela pourrait être lié à leur mode de vie sédentaire.,
en_4738,Pourquoi tous les hommes d'affaires sont-ils gros ? Ça doit être l'inflation.,Pourquoi tous les hommes d'affaires sont-ils gros ? Ça doit être l'inflation.,2943,0,Pourquoi tant d'économistes semblent-ils préoccupés ? Cela pourrait être lié aux marchés actuels.,
en_4749,"Croyez-moi, l’enfer ça vous dém-ange.","Croyez-moi, l’enfer ça vous dém-ange.",2944,0,"Croyez-moi, l'enfer ça vous tourmente.",
en_4749,Personne n'a de sueurs froides dans les flammes de l'Enfer.,Personne n'a de sueurs froides dans les flammes de l'Enfer.,2945,0,Nul ne tremble devant l'éclat brûlant du soleil ardent.,
en_4749,Personne ne peut se détendre dans les flemmes de l'enfer.,Personne ne peut se détendre dans les flemmes de l'enfer.,2946,0,Personne ne peut trouver le repos dans les tourments du chaos.,
en_4749,Personne ne garde la tête froide face aux flammes de l'enfer,Personne ne garde la tête froide face aux flammes de l'enfer,2947,0,Nul ne reste serein devant les feux de l'abîme.,
en_4771,"Je m'appelle Ringo, je suis boxeur.","Je m'appelle Ringo, je suis boxeur.",2948,0,"Je me nomme Alex, je suis lutteur.",
en_4771,"Je m'appelle Jim, je suis prof de sport.","Je m'appelle Jim, je suis prof de sport.",2949,0,"Mon nom est Tom, je travaille en tant que coach.",
en_4771,"Je m'appelle Alex Zercice, je suis entraîneur","Je m'appelle Alex Zercice, je suis entraîneur",2950,0,"Je suis Marie Dupont, je travaille ici.","I am Marie Dupont, I work here."
en_4777,"Hier j'ai avalé un peu d'eau de javel par accident. Le médecin m'a dit que ce n'était pas grave, mais j'ai l'impression d'avoir fondu un peu.","Hier j'ai avalé un peu d'eau de javel par accident. Le médecin m'a dit que ce n'était pas grave, mais j'ai l'impression d'avoir fondu un peu.",2951,0,"Hier j'ai bu par mégarde une eau un peu étrange. Le docteur a assuré que tout allait bien, mais je ressens une sensation bizarre, comme si quelque chose avait changé.",
en_4777,"Hier, j'ai accidentellement avalé des colorants alimentaires. Le docteur a dit que tout allait bien, mais j'ai des couleurs d'estomac.","Hier, j'ai accidentellement avalé des colorants alimentaires. Le docteur a dit que tout allait bien, mais j'ai des couleurs d'estomac.",2952,0,"Hier, j'ai avalé du liquide de vaisselle par mégarde. Le médecin m'a assuré que tout irait bien, mais j'ai des maux d'estomac.",
en_4777,J'ai accidentellement avalé du colorant alimentaire hier. Mon médecin me dit que ce n'est pas grave mais je me sens barbouillé.,J'ai accidentellement avalé du colorant alimentaire hier. Mon médecin me dit que ce n'est pas grave mais je me sens barbouillé.,2953,0,"Hier, j'ai bu par erreur une boisson sucrée colorée. Mon docteur assure que ce n'est rien de préoccupant mais j'ai des nausées.",
en_4777,"Hier j'ai avalé du colorant alimentaire. Le docteur dit que ce n'est pas grave, mais je sens au fond de moi que mon corps s'est teint.","Hier j'ai avalé du colorant alimentaire. Le docteur dit que ce n'est pas grave, mais je sens au fond de moi que mon corps s'est teint.",2954,0,"Hier, j'ai ingéré un médicament. Le médecin assure que je n'ai rien de sérieux, mais j'ai l'impression que quelque chose a changé en moi.",
en_4777,"Hier j’ai accidentellement ingéré du colorant alimentaire. Le docteur m’a dit en riant que tout allait bien, mais moi, j’ai ri jaune.","Hier j’ai accidentellement ingéré du colorant alimentaire. Le docteur m’a dit en riant que tout allait bien, mais moi, j’ai ri jaune.",2955,0,"Hier j’ai accidentellement renversé du jus de fruit sur la table. Le docteur m’a assuré que cela n’était pas grave, alors je me suis calmé.",
en_4777,"Hier, j'ai avalé du colorant alilentaire par accident. Le docteur m'a recommandé d'éviter les oranges, les fromages bleus, la viande rouge et les légumes verts pour prévenir une maladie couleurectale.","Hier, j'ai avalé du colorant alilentaire par accident. Le docteur m'a recommandé d'éviter les oranges, les fromages bleus, la viande rouge et les légumes verts pour prévenir une maladie couleurectale.",2956,0,"Hier, par inadvertance, j'ai consommé un produit chimique. Le docteur m'a recommandé d'éviter les fruits rouges, le fromage bleu, le poisson, et les légumes verts pour prévenir un problème digestif.",
en_4777,"Hier j'ai accidentellement avalé du colorant alimentaire. Le docteur dit que je vais bien, mais je me sens barbouillé de l'intérieur.","Hier j'ai accidentellement avalé du colorant alimentaire. Le docteur dit que je vais bien, mais je me sens barbouillé de l'intérieur.",2957,0,"Hier, j'ai ingéré par erreur un produit chimique. Le médecin m'a assuré que tout allait bien, mais je ressens un inconfort interne.",
en_4777,"Hier j'ai avalé par accident du colorant alimentaire. Le médecin dit que je vais bien, mais moi je ressens une couleur vive.","Hier j'ai avalé par accident du colorant alimentaire. Le médecin dit que je vais bien, mais moi je ressens une couleur vive.",2958,0,"Hier soir, j'ai mangé par erreur des épices très fortes. Le médecin assure que tout va bien, mais je ressens encore la chaleur persistante.",
en_4777,J'ai accidentellement avalé de la peinture hier. Je suis allée voir mon médecin et je lui en fait voir de toutes les couleurs.,J'ai accidentellement avalé de la peinture hier. Je suis allée voir mon médecin et je lui en fait voir de toutes les couleurs.,2959,0,"Hier, j'ai inhalé des vapeurs chimiques par accident. Je suis allée voir mon médecin et nous avons discuté des symptômes à surveiller.",
en_4777,"Hier par accident j'ai avalé du colorant alimentaire. Le docteur dit que ce n'est rien de grave, mais je suis d'humeur mo-rose.","Hier par accident j'ai avalé du colorant alimentaire. Le docteur dit que ce n'est rien de grave, mais je suis d'humeur mo-rose.",2960,0,"Hier, par accident, j'ai ingéré du colorant alimentaire. Le médecin dit que cela n'est pas dangereux, mais je ne me sens pas bien aujourd'hui.","Yesterday, by accident, I ingested some food coloring. The doctor says that it is not dangerous, but I do not feel well today."
en_4777,"Hier, j'ai accidentellement avalé du colorant alimentaire. Le médecin me dit que je vais survivre, mais je me suis vu mauvir.","Hier, j'ai accidentellement avalé du colorant alimentaire. Le médecin me dit que je vais survivre, mais je me suis vu mauvir.",2961,0,"Hier, j'ai involontairement pris un médicament. Le docteur affirme que je vais m'en remettre, mais je me sens mal à l'aise.",
