id	text
fr_4	Certaines personnes prennent des photos magnifiques et les coupent en morceaux. C'est un vrai puzzle pour moi.
fr_5	Docteur, docteur, je continue à penser que je suis une cuillère. - Assieds-toi là et ne remue pas. Suivant.
fr_8	Le mannequin qui avait rejoint les forces de l’air était une bombe.
fr_17	Quel est le comble d'un mathématicien ? De porter plainte contre x.
fr_20	Les vieux électriciens ne meurent jamais, ils ne sont juste plus au courant.
fr_27	Ce n'était pas la pomme poussant sur l'arbre de la connaissance le problème, c'était les deux poires en dessous.
fr_40	L'Espagnol a fait un généreux Don à sa femme.
fr_49	Le professeur de maths est devenu fou avec le tableau noir. Il a fait un numéro dessus.
fr_53	"Pourquoi les Tesla coûtent-elles si cher ?
Parce qu'elles n'acceptent pas le liquide."
fr_65	Un fabricant de pickles est tombé dans un des vats au travail.  l'hôpital, on a déterminé qu'il avait une blessure à la saumure.
fr_94	« Orfeo ed Euridice », enfers et contre tout
fr_108	Au Ve siècle avant notre ère, la philosophie de Socrate était à son Agogé.
fr_114	Les vieux chirurgiens d'arbres ne meurent jamais, leur situation s'agave juste.
fr_120	Je me suis fait faire un piercing dans le nez, répétait Tom en boucle.
fr_127	L'homme pris un parapluie avec lui pour retrouver ses amis au bar, la soirée s'annonçait arrosée.
fr_140	J'ai téléphoné à la réception pour me plaindre de nos chambres d'hôtel, mais on n'a pas donné suite à mon appel.
fr_147	Bugs Bunny voulait acheter un cadeau à sa copine, 24 carats devraient faire l'affaire, non ?
fr_149	Il avait volé l'idée d'une invention et abrevet son entourage de mensonges.
fr_150	Les vieux baigneurs ne meurent pas, ils partent juste se la couler douce ailleurs.
fr_159	Il a pris 12 mois pour avoir volé un calendrier.
fr_164	Darwin a dit qu'il devrait voir ce qui a évolué.
fr_165	Les vieux garagistes ne meurent jamais, ils ont juste des coups de pompe quand ils sont crevés.
fr_168	"""Je ne sais pas si Heisenberg a réussi"", dit Tom sans certitude."
fr_175	Les vieux professeurs de mathématiques ne meurent jamais, ils deviennent juste irrationnels.
fr_184	Une foire d'église est une expérience bazar.
fr_196	Même si le puits était un mystère pour elle, elle ne voulait pas aller au fond des choses.
fr_201	Personne n'a de sueurs froides dans les flammes de l'Enfer.
fr_209	Elle avait mémorisé le type de serrure qu'elle voulait, par coeur.
fr_219	J'ai du appeler mon électricien pour mon tableau électrique. Il m'a dit que les travaux étaient fusables en deux jours.
fr_220	Je m'appelle Hermès. Je suis facteur.
fr_222	Ils se sont réfugiés dans le sauna pour échapper au tireur, qui leur a donné des sueurs froides.
fr_226	La police l'a arrêté pour avoir démembré ses colocs. Il a été embarqué devant ses collocataires décomposés.
fr_227	"""Félicitation, vous avez obtenu votre CAP"", certifia Toto."
fr_229	"Est ce que tu as entendu pour la piñata ?
C'est un gros coup"
